번호,도서관명,도서관홈페이지,상품종류,제목,저자,출판사,출판일,국제표준도서번호,보유 종수,공급사,대분류,중분류,데이터 기준일자
10511,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,kidSing 월드북스 76-전원 교향악,앙드레 지드,ebook Korea,,,3,BC,유아,그림책,2025-08-22
10512,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,kidSing 월드북스 77-말하는 떡갈나무,조르주 상드,ebook Korea,,,3,BC,유아,그림책,2025-08-22
10513,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,kidSing 월드북스 79-사랑의 가족,아그네스 자퍼,ebook Korea,,,5,BC,유아,그림책,2025-08-22
10514,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,kidSing 월드북스 83-검은 말 이야기,에너 슈얼,ebook Korea,,,3,BC,유아,그림책,2025-08-22
10515,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,kidSing 월드북스 84-허풍선이 남작의 모험,바론 뮌하우젠,ebook Korea,,,5,BC,유아,그림책,2025-08-22
10516,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,kidSing 월드북스 85-리머스 아저씨,챈들러 해리스,ebook Korea,,,5,BC,유아,그림책,2025-08-22
10517,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,kidSing 월드북스 88-돌리틀 선생이야기(아프리카편),휴 로프팅,ebook Korea,,,3,BC,유아,그림책,2025-08-22
10518,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,kidSing 월드북스 89-돌리틀 선생 이야기(항해편),휴 로프팅,ebook Korea,,,3,BC,유아,그림책,2025-08-22
10519,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,NEW 회계 따라잡기,이병권,새로운제안,,,5,BC,경제/경영,경영일반,2025-08-22
10520,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,NLP 커뮤니케이션 - 1시간에 업그레이드하기,김형신,시유시,,,5,BC,자기계발,성공/처세,2025-08-22
10521,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,Passion 백만불짜리 열정,이채욱,랜덤하우스코리아,,,5,BC,자기계발,자기능력계발,2025-08-22
10522,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,Small Potatoes - 솜사탕 파티(한국어),유니메이션 편집부,유니메이션,,,5,BC,유아,그림책,2025-08-22
10523,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,Small Potatoes - 스투는 요리사(한국어),유니메이션 편집부,유니메이션,,,5,BC,유아,그림책,2025-08-22
10524,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,Small Potatoes - 충치는 싫어(한국어),유니메이션 편집부,유니메이션,,,5,BC,유아,그림책,2025-08-22
10525,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,Small Potatoes - 크레파스의 왈츠(한국어),유니메이션 편집부,유니메이션,,,5,BC,유아,그림책,2025-08-22
10526,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,Small Potatoes - 햄버거 소동(한국어),유니메이션 편집부,유니메이션,,,5,BC,유아,그림책,2025-08-22
10527,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,Style English - 듣기만 해도 영어표현이 기억되는 스타일 잉글리시,강현주,21세기북스,,,5,BC,언어,수험영어,2025-08-22
10528,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,Style English 2 - 듣기만 해도 영어표현이 기억되는 스타일 잉글리시,도미닉 핸론,21세기북스,,,5,BC,언어,수험영어,2025-08-22
10529,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,TOEIC ICON L/C BASIC - 개정토익 완벽대비,플랜티 어학연구소,(주)다락원,,,5,BC,언어,수험영어,2025-08-22
10530,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,TOEIC ICON R/C BASIC - 개정토익 완벽대비,플랜티 어학연구소,(주)다락원,,,5,BC,언어,수험영어,2025-08-22
10531,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,TOEIC ICON R/C INTENSIVE - 개정토익 완벽대비,플랜티 어학연구소,(주)다락원,,,5,BC,언어,수험영어,2025-08-22
10532,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,TOEIC R/C 좋은문제 1000제 모질게 풀어보기- 문제집,박병재,아울북,,,5,BC,언어,수험영어,2025-08-22
10533,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,TOEIC R/C 좋은문제 1000제 모질게 풀어보기- 해설집,박병재,아울북,,,5,BC,언어,수험영어,2025-08-22
10534,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,Try again! - 중학교 교과서로 다시 시작하는 영어(개정판),문단열,길벗이지톡,,,5,BC,언어,수험영어,2025-08-22
10535,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,Try again! - 중학교 교과서로 다시 시작하는 토익 리스닝,테리홍,길벗이지톡,,,5,BC,언어,수험영어,2025-08-22
10536,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,TVㆍ인터넷에서 우리 아이 지키기,고승우,북스토리,,,5,BC,가정/생활/요리,자녀교육,2025-08-22
10537,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,Visual Thinking,히사츠네 게이이치,정한PNP,,,5,BC,자기계발,성공/처세,2025-08-22
10538,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,"Whats up, man? - 리얼 시추에이션 잉글리시, weekdays편",백선엽,넥서스,,,5,BC,언어,수험영어,2025-08-22
10539,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,"Whats up, man? - 리얼 시추에이션 잉글리시, weekend편",백선엽,넥서스,,,5,BC,언어,수험영어,2025-08-22
10540,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,[정책제안]차세대 CEO육성을 위한 정책 제안,라이터스 편집부,라이터스,,,5,BC,경제/경영,경영일반,2025-08-22
10541,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,‘아침 경영’은 성공의 첫 단추,라이터스 편집부,라이터스,,,5,BC,경제/경영,경영일반,2025-08-22
10542,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,가 나 다,한지희,다섯수레,,,5,BC,유아,그림책,2025-08-22
10543,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,가계부,엑스트라클래스,엑스트라클래스,,,5,BC,유아,그림책,2025-08-22
10544,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,가나다 아기쥐 나들이,김영곤,국민서관,,,5,BC,유아,그림책,2025-08-22
10545,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,가는 길,김소월,북토피아,,,5,BC,소설,외국소설,2025-08-22
10546,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,가련한 악사,종이와펜 편집부,종이와펜,,,5,BC,소설,외국소설,2025-08-22
10547,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,가로약 세로약,동화사랑 편집부,동화사랑연구소,,,5,BC,유아,그림책,2025-08-22
10548,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,가루 물질 가열하기,엑스트라클래스,엑스트라클래스,,,5,BC,유아,그림책,2025-08-22
10549,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,가루 물질에 액체 떨어뜨리기,엑스트라클래스,엑스트라클래스,,,5,BC,유아,그림책,2025-08-22
10550,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,가루 빨리 녹이기,엑스트라클래스,엑스트라클래스,,,5,BC,유아,그림책,2025-08-22
10551,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,가면의 꿈 - 이청준 문학전집 중단편소설 3,이청준,열림원,,,5,BC,소설,한국소설,2025-08-22
10552,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,가방 들어 주는 아이,백남원,사계절,,,5,BC,유아,그림책,2025-08-22
10553,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,가슴을 울리는 사랑 - 편지,권형술,바다출판사,,,5,BC,소설,한국소설,2025-08-22
10554,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,가위 밑 그림의 음화와 양화 - 이청준 문학전집 연작소설 3,이청준,열림원,,,5,BC,소설,한국소설,2025-08-22
10555,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,가을에는 왜 나뭇잎의 색이 변할까요,아하사이언스 편집부,아하 사이언스,,,5,BC,유아,그림책,2025-08-22
10556,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,가자 가자 감나무,편해문,창비,,,5,BC,유아,그림책,2025-08-22
10557,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,"가장 세련된 삶의 시작, 배려의 기술",지동직,북스토리,,,5,BC,자기계발,자기능력계발,2025-08-22
10558,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,가재와 굼벵이,동화사랑 편집부,동화사랑연구소,,,5,BC,유아,그림책,2025-08-22
10559,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,가정의 소중함과 바람직한 가정,엑스트라클래스,엑스트라클래스,,,5,BC,유아,그림책,2025-08-22
10560,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,가정의 여러 행사,엑스트라클래스,엑스트라클래스,,,5,BC,유아,그림책,2025-08-22
10561,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,가족의 여러 형태,엑스트라클래스,엑스트라클래스,,,5,BC,유아,그림책,2025-08-22
10562,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,가지고 싶은 것,엑스트라클래스,엑스트라클래스,,,5,BC,유아,그림책,2025-08-22
10563,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,가진것이 없거든 이렇게 승부하라,엑스트라클래스,정한PNP,,,5,BC,자기계발,성공/처세,2025-08-22
10564,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,가짜 왕자,이키드북 편집부,이키드북,,,5,BC,유아,그림책,2025-08-22
10565,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,각설탕 녹이기,엑스트라클래스,엑스트라클래스,,,5,BC,유아,그림책,2025-08-22
10566,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,간도대란 1,유호,해든아침,,,5,BC,소설,한국소설,2025-08-22
10567,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,간도대란 2 (완결),유호,해든아침,,,5,BC,소설,한국소설,2025-08-22
10568,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,간이 온도계 만들기,엑스트라클래스,엑스트라클래스,,,5,BC,유아,그림책,2025-08-22
10569,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,간호사가 말하는 간호사 - 부키전문직리포트 4,권혜림 외 13인,부키,,,5,BC,시/에세이,에세이,2025-08-22
