번호,도서관명,도서관홈페이지,상품종류,제목,저자,출판사,출판일,국제표준도서번호,보유 종수,공급사,대분류,중분류,데이터 기준일자
1,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,개발자 기술 면접 노트,이남희 저,한빛미디어,2024-03-25,9.79E+12,1,YES24,IT/프로그래밍,컴퓨터공학,2025-08-22
2,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,게임 체인저,닐 셔스터먼 저/이민희 역,열린책들,2024-02-05,9.79E+12,2,YES24,소설,외국소설,2025-08-22
3,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,결국 해내면 그만이다,정영욱 저,놀,2024-04-12,9.79E+12,2,YES24,시/에세이,에세이,2025-08-22
4,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,결정하는 습관,리처드 모란 저/이지민 역,북스톤,2024-03-18,9.79E+12,1,YES24,자기계발,성공/처세,2025-08-22
5,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,구름에 달 가리운 방금 전까지 인간이었다,미야베 미유키 저/이규원 역,북스피어,2024-01-31,9.79E+12,2,YES24,소설,외국소설,2025-08-22
6,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,그렇게 아버지가 된다,"고레에다 히로카즈,사노 아키라 저/이영미 역",알에이치코리아(RHK),2024-04-23,9.79E+12,2,YES24,소설,외국소설,2025-08-22
7,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,긴 인생을 위한 짧은 영어 책 : 이것은 지금도 영어가 두려운 당신을 위한 이야기,박혜윤 저,동양북스(동양books),2024-04-05,9.79E+12,1,YES24,인문,인문학일반,2025-08-22
8,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,꿈의 인문학 : 인간의식의 진화에서 꿈의 역할은 무엇인가,싯다르타 히베이루 저/조은아 역,흐름출판,2024-04-12,9.79E+12,2,YES24,과학/공학,교양과학,2025-08-22
9,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,나는 행복한 푸바오 할부지입니다,강철원 저,시공사,2024-03-10,9.79E+12,1,YES24,시/에세이,에세이,2025-08-22
10,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,남겨진 것들의 기록 : 유품정리사가 써 내려간 떠난 이들의 뒷모습,"김새별,전애원 저",청림출판,2024-02-13,9.79E+12,1,YES24,시/에세이,에세이,2025-08-22
11,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,내 아이를 위한 사교육은 없다 : 사교육을 이기고 상위 1%로 도약하는 힘,김현주 저,청림Life,2024-04-03,9.79E+12,1,YES24,가정/생활/요리,자녀교육,2025-08-22
12,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,"뇌, 마케팅의 비밀을 열다",한스-게오르크 호이젤 저/구소영 역,다산북스,2024-03-29,9.79E+12,2,YES24,경제/경영,마케팅/세일즈,2025-08-22
13,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,다 하지 못한 말,임경선 저,토스트,2024-03-27,9.79E+12,1,YES24,시/에세이,에세이,2025-08-22
14,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,도쿄대 암기법 : 암기의 신이 알려주는 기억력 200% 활용법,미야구치 기미토시 저/김윤경 역,빅피시,2024-04-24,9.79E+12,1,YES24,자기계발,자기능력계발,2025-08-22
15,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,때로는 간절함조차 아플 때가 있었다 : 나를 단단하게 만들어준 순간들에 관하여,강지영 저  저,빅피시,2024-03-07,9.79E+12,1,YES24,시/에세이,에세이,2025-08-22
16,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,리더는 무엇에 집중하는가,존 맥스웰 저/이종호 역,비즈니스북스,2024-04-18,9.79E+12,1,YES24,경제/경영,경영관리,2025-08-22
17,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,머니룰,에스더 힉스 & 제리 힉스 저/최은아 역,나비스쿨(NAVI SCHOOL),2024-04-23,9.79E+12,1,YES24,자기계발,성공/처세,2025-08-22
18,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,메리골드 마음 사진관,윤정은 저,북로망스,2024-02-19,9.79E+12,1,YES24,소설,한국소설,2025-08-22
19,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,"명화의 탄생, 그때 그 사람",성수영 저,한경arte,2024-03-17,9.79E+12,2,YES24,예술/대중문화,미술,2025-08-22
20,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,무기가 되는 알고리즘 : 조직을 구하는 리더의 60일 업무 프로세스,도널드 밀러 저/유정식 역,윌북(willbook),2024-03-26,9.79E+12,1,YES24,경제/경영,경영관리,2025-08-22
21,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,물질의 세계 : 6가지 물질이 그려내는 인류 문명의 대서사시,에드 콘웨이 저/이종인 역,인플루엔셜,2024-04-17,9.79E+12,1,YES24,인문,신화/인류학,2025-08-22
22,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,"밥 먹다가, 울컥",박찬일 저,웅진지식하우스,2024-02-06,9.79E+12,2,YES24,시/에세이,에세이,2025-08-22
23,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,벌거벗은 한국사 : 조선편 : 500년 역사가 눈앞에 펼쳐지는 스토리텔링 조선사,tvN STORY 〈벌거벗은 한국사〉 제작팀 저,프런트페이지,2024-04-18,9.79E+12,1,YES24,역사/문화,한국사,2025-08-22
24,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,법구경 마음공부 : 걱정 많은 삶을 평온하게 바꾸는 법,정운 저,유노책주,2024-04-26,9.79E+12,1,YES24,종교,불교,2025-08-22
25,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,보편의 단어 : 당신의 삶을 떠받치고 당신을 살아가게 하는,이기주 저,말글터,2024-01-24,9.79E+12,1,YES24,시/에세이,에세이,2025-08-22
26,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,블랙 쇼맨과 운명의 바퀴,히가시노 게이고 저/최고은 역,알에이치코리아(RHK),2024-03-07,9.79E+12,2,YES24,소설,외국소설,2025-08-22
27,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,사는 동안 한 번은 팔아봐라,서과장 저,마인드셋(Mindset),2024-01-25,9.79E+12,1,YES24,경제/경영,마케팅/세일즈,2025-08-22
28,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,사람을 안다는 것,데이비드 브룩스 저/이경식 역,웅진지식하우스,2024-04-04,9.79E+12,2,YES24,인문,인문학일반,2025-08-22
29,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,살림지옥 해방일지 : 집안일에 인생을 다 쓰기 전에 시작하는 미니멀라이프,이나가키 에미코 저/박재현 역,21세기북스,2024-04-11,9.79E+12,2,YES24,시/에세이,에세이,2025-08-22
30,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,생성형 AI로 웹툰 만화 제작하기 : 스테이블 디퓨전·미드저니·챗GPT,김한재 저,성안당,2024-04-02,9.79E+12,1,YES24,예술/대중문화,대중문화,2025-08-22
31,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,세스 매트리얼 : 지식 너머의 진실,제인 로버츠 저/매건 김 역,터닝페이지,2024-04-24,9.79E+12,1,YES24,인문,인문학일반,2025-08-22
32,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,세컨드 브레인 부스트,티아고 포르테 저/이희령 역,쌤앤파커스,2024-04-12,9.79E+12,1,YES24,자기계발,성공/처세,2025-08-22
33,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,시간은 되돌릴 수 있을까,다카미즈 유이치 저/김정환 역/김범준 감수,북라이프,2024-03-21,9.79E+12,1,YES24,과학/공학,교양과학,2025-08-22
34,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,아무리 잘해줘도 당신 곁에 남지 않는다,전미경 저,위즈덤하우스,2024-04-19,9.79E+12,2,YES24,자기계발,인간관계,2025-08-22
35,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,어쩌다 편의점 : 전지적 홍보맨 시점 편의점 이야기,유철현 저,돌베개,2024-03-18,9.79E+12,2,YES24,시/에세이,에세이,2025-08-22
36,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,엄마들에게 들려주고 싶은 자존감 회복 이야기 : 마음 근력이 답이다,스마일 엘린 저,작가와,2024-04-18,9.79E+12,1,YES24,시/에세이,에세이,2025-08-22
37,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,"여기에도 길이 있을까? : 지역아동센터여서, 생활복지사여서 길이 없다고 느꼈던 이곳에서 마음을 치유하고 나만의 길을 찾게 된 인생 회복 스토리",하나비 저,작가와,2024-04-17,9.79E+12,1,YES24,정치/사회,사회학,2025-08-22
38,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,오로라,최진영 저,위즈덤하우스,2024-02-21,9.79E+12,2,YES24,소설,한국소설,2025-08-22
39,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,오류가 발생했습니다,이산화 저,안전가옥,2024-02-14,9.79E+12,1,YES24,소설,한국소설,2025-08-22
40,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,완전하다는 거짓말,소류 저,작가와,2024-04-22,9.79E+12,1,YES24,소설,한국소설,2025-08-22
41,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,완치 비만 : 당신은 어떻게 살 안 찌는 사람으로 변했나요?,조승우 저,사이몬북스,2024-04-16,9.79E+12,1,YES24,건강/의학,다이어트/뷰티,2025-08-22
42,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,자존감 회복 수업 : 내가 좋아지고 관계가 편해지는,충페이충 저/이신혜 역,유노북스,2024-04-16,9.79E+12,1,YES24,자기계발,인간관계,2025-08-22
43,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,지구 생물체는 항복하라,정보라 저,래빗홀,2024-03-15,9.79E+12,1,YES24,소설,한국소설,2025-08-22
44,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,지금도 책에서만 얻을 수 있는 것 : 사람들이 읽기를 싫어한다는 착각,김지원 저,유유,2024-03-04,9.79E+12,1,YES24,인문,인문학일반,2025-08-22
45,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,찌그러져도 동그라미입니다,김창완 저,웅진지식하우스,2024-03-28,9.79E+12,2,YES24,시/에세이,에세이,2025-08-22
46,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,"챗GPT API를 활용한 챗봇 만들기 : 5일 만에 배우는 AI 챗봇 개발의 모든것(LLM,프롬프트 엔지니어링, 오픈AI API, 에이전트, 벡터DB)",이승우 저,한빛미디어,2024-03-25,9.79E+12,1,YES24,IT/프로그래밍,컴퓨터공학,2025-08-22
47,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,천 척의 배 : 트로이아 전쟁의 여성들,나탈리 헤인스 저/홍한별 역,돌고래,2024-03-11,9.79E+12,1,YES24,소설,외국소설,2025-08-22
48,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,초고령사회 일본이 사는 법 : 10년 앞선 고령사회 리포트,김웅철 저,매일경제신문사,2024-03-13,9.79E+12,1,YES24,정치/사회,사회학,2025-08-22
49,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,최재천의 곤충사회,최재천 저,열림원,2024-03-05,9.79E+12,1,YES24,시/에세이,에세이,2025-08-22
50,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,크리에이티브 웨이 : 도둑맞은 창조성을 되찾는 10가지 방법,리처드 홀먼 저/알 머피 그림/박세연 역,현대지성,2024-04-30,9.79E+12,1,YES24,자기계발,자기능력계발,2025-08-22
51,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,클리어 씽킹 : 탁월한 결과에 이르는 생각의 디테일,셰인 패리시 저/최호영 역,알에이치코리아(RHK),2024-04-16,9.79E+12,2,YES24,자기계발,자기능력계발,2025-08-22
52,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,플라톤의 인생 수업,장재형 저,다산초당,2024-04-05,9.79E+12,2,YES24,인문,서양철학,2025-08-22
53,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,"호르몬은 어떻게 나를 움직이는가 : 순간의 감정부터 일생의 변화까지, 내 삶을 지배하는 호르몬의 모든 것",막스 니우도르프 저배명자 역,어크로스,2024-04-19,9.79E+12,1,YES24,과학/공학,교양과학,2025-08-22
54,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,혼자라서 외로운 사람 혼자서도 행복한 사람,아리카와 마유미 저/정문주 역,시크릿하우스,2024-03-21,9.79E+12,1,YES24,자기계발,성공/처세,2025-08-22
55,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,100일 아침 습관의 기적,켈리 최 저,다산북스,2024-01-18,9.79E+12,2,YES24,자기계발,성공/처세,2025-08-22
56,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,"가끔 찬란하고 자주 우울한 : 경조증과 우울 사이에서, 의사가 직접 겪은 조울증의 세계",경조울 저,북하우스,2023-12-27,9.79E+12,2,YES24,시/에세이,에세이,2025-08-22
57,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,감찰관 : 을유세계문학전집 115,니콜라이 고골 저/이경완 역,을유문화사,2023-06-28,9.79E+12,1,YES24,소설,외국소설,2025-08-22
58,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,결국 원하는 것을 얻는 사람들의 비밀,조이 챈스 저/김익성 역,비즈니스북스,2023-12-22,9.79E+12,1,YES24,자기계발,인간관계,2025-08-22
59,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,경험은 어떻게 유전자에 새겨지는가,데이비드 무어 저/정지인 역,아몬드,2023-11-06,9.79E+12,1,YES24,과학/공학,생물학,2025-08-22
60,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,관계의 언어 : 나를 잃지 않고 관계를 회복하는 마음 헤아리기 심리학,문요한 저,더퀘스트,2023-12-13,9.79E+12,2,YES24,인문,교양심리,2025-08-22
61,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,기자의 글쓰기 : 모든 장르에 통하는 강력한 글쓰기 전략,박종인 저,와이즈맵,2023-09-20,9.79E+12,1,YES24,인문,기타,2025-08-22
62,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,기적의 자세요정,자세요정 저,다산라이프,2023-10-16,9.79E+12,2,YES24,건강/의학,건강일반,2025-08-22
63,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,꿈의 연극 : 을유세계문학전집 130,아우구스트 스트린드베리 저/홍재웅 역,을유문화사,2024-01-03,9.79E+12,1,YES24,소설,외국소설,2025-08-22
64,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,나 없이는 존재하지 않는 세상 : 카를로 로벨리의 기묘하고 아름다운 양자 물리학,카를로 로벨리 저/김정훈 역,쌤앤파커스,2023-12-11,9.79E+12,1,YES24,과학/공학,물리학,2025-08-22
65,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,내 삶이 콘텐츠가 되는 순간 : 평범한 내 일상이 누군가에겐 ‘인생 콘텐츠’가 된다,한혜진 저,경이로움,2024-01-16,9.79E+12,1,YES24,경제/경영,경영일반,2025-08-22
66,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,내가 엄마들 모임에 안 나가는 이유 : 내 아이와 나를 지키는 인간관계 시크릿 노트,강빈맘 저,클레이하우스,2023-10-20,9.79E+12,1,YES24,자기계발,인간관계,2025-08-22
67,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,니들리스 거리의 마지막 집,캐트리오나 워드 저/이경아 역,시공사,2023-10-31,9.79E+12,1,YES24,소설,외국소설,2025-08-22
68,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,단 한 사람,최진영 저,한겨레출판,2023-11-07,9.79E+12,2,YES24,소설,한국소설,2025-08-22
69,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,데이터는 예측하지 않는다 : 데이터에 관한 꼭 알아야 할 오해와 진실,김송규 저,좋은습관연구소,2024-01-23,9.79E+12,1,YES24,경제/경영,경영일반,2025-08-22
70,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,따라 쓰기만 해도 글이 좋아진다 : 글쓰기에 도움이 되는 필사 문장 30,김선영 저,좋은습관연구소,2023-12-01,9.79E+12,1,YES24,인문,기타,2025-08-22
71,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,라스트 젤리 샷,청예 저,허블,2023-09-07,9.79E+12,2,YES24,소설,한국소설,2025-08-22
72,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,마음 지구력  : 삶의 경로를 재탐색하는 발칙한 끈기에 대한 이야기,윤홍균 저,21세기북스,2024-01-10,9.79E+12,2,YES24,자기계발,성공/처세,2025-08-22
73,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,마음을 꿰뚫는 일상의 심리학 : 한 권으로 통달하는 심리의 세계,장원청 저/김혜림 역,미디어숲,2023-09-10,9.79E+12,1,YES24,자기계발,성공/처세,2025-08-22
74,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,무기가 되는 글쓰기,배작가 저,다산북스,2024-01-15,9.79E+12,2,YES24,자기계발,성공/처세,2025-08-22
75,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,미래는 저녁 8시에 결정된다 : 스치는 시간을 빛나는 기회로 바꾸는 똑똑한 저녁 활용법,한승헌 저,토네이도,2023-12-01,9.79E+12,1,YES24,자기계발,성공/처세,2025-08-22
76,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,버너 자매 : 을유세계문학전집 114,"이디스 워튼 저/홍정아,김욱동 공역",을유문화사,2023-06-28,9.79E+12,1,YES24,소설,외국소설,2025-08-22
77,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,벌거벗은 한국사 : 영웅편 : 본격 우리 역사 스토리텔링쇼,tvN STORY 〈벌거벗은 한국사〉 제작팀 저,프런트페이지,2024-01-10,9.79E+12,1,YES24,역사/문화,한국사,2025-08-22
78,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,부처스 크로싱,존 윌리엄스 저/정세윤 역,구픽,2023-10-31,9.79E+12,1,YES24,소설,외국소설,2025-08-22
79,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,블랙케이크,샤메인 윌커슨 저/서제인 역,열린책들,2023-11-30,9.79E+12,2,YES24,소설,외국소설,2025-08-22
80,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,생각의 지문,이동규 저,클라우드나인,2024-01-10,9.79E+12,1,YES24,경제/경영,경영일반,2025-08-22
81,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,생각이 너무 많은 어른들을 위한 심리학 (10만부 돌파 기념 스페셜 에디션) : 후회 없는 삶을 살고 싶은 당신에게 해 주고 싶은 말들,김혜남 저,메이븐,2023-09-25,9.79E+12,1,YES24,인문,교양심리,2025-08-22
82,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,세상 모든 것의 기원 : 어디에도 없는 고고학 이야기,강인욱 저,흐름출판,2023-10-20,9.79E+12,2,YES24,역사/문화,역사일반/고고학,2025-08-22
83,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,스타벅스 일기,권남희 저,한겨레출판,2023-12-08,9.79E+12,2,YES24,시/에세이,에세이,2025-08-22
84,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,스트리밍 이후의 세계,"데이드 헤이스,돈 흐미엘레프스키 공저/이정민 역",알키,2024-01-08,9.79E+12,1,YES24,경제/경영,경영일반,2025-08-22
85,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,승무원 일기 : 비행 뒤에 숨겨진 비밀스러운 이야기,김연실 글그림,언제나북스,2024-01-15,9.79E+12,1,YES24,시/에세이,기행/답사,2025-08-22
86,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,시간의 기원 : 스티븐 호킹이 세상에 남긴 마지막 이론,토마스 헤르토흐 저/박병철 역,알에이치코리아(RHK),2024-01-10,9.79E+12,2,YES24,과학/공학,천문학,2025-08-22
87,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,신을 죽인 여자들,클라우디아 피녜이로 저/엄지영 역,푸른숲,2024-01-12,9.79E+12,2,YES24,소설,외국소설,2025-08-22
88,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,에마 : 동서세계문학전집 101,제인 오스틴 저/최순영 역,동서문화사,2023-09-01,9.79E+12,1,YES24,소설,외국소설,2025-08-22
89,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,오르부아 에두아르 : 나는 프랑스 책벌레와 이혼했다,이주영 저,나비클럽,2024-12-28,9.79E+12,1,YES24,시/에세이,에세이,2025-08-22
90,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,우리 오늘도 살아 있네?,긍씨 저,위즈덤하우스,2024-01-08,9.79E+12,2,YES24,시/에세이,에세이,2025-08-22
91,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,음향과 분노/8월의 빛 : 동서세계문학전집 046,윌리엄 포크너 저/오정환 역,동서문화사,2023-09-05,9.79E+12,1,YES24,소설,외국소설,2025-08-22
92,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,이런 삶이 꼰대라면 나는 그냥 꼰대 할래요,마인드셋 편집부 저,마인드셋(Mindset),2023-09-27,9.79E+12,1,YES24,자기계발,인간관계,2025-08-22
93,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,인형의 집/유령/민중의 적/들오리 : 동서세계문학전집 066,헨리크 입센 저/소두영 역,동서문화사,2023-10-31,9.79E+12,1,YES24,소설,외국소설,2025-08-22
94,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,전염병 일지  : 열린책들 세계문학 285,대니얼 디포 저/서정은 역,열린책들,2023-08-20,9.79E+12,2,YES24,소설,외국소설,2025-08-22
95,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,지루하면 죽는다 : 비밀이 많은 콘텐츠를 만들 것,조나 레러 저/이은선 역,윌북(willbook),2023-12-08,9.79E+12,1,YES24,인문,기타,2025-08-22
96,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,집착의 법칙 : 마약중독자를 8000억 자산가로 만든 단 하나의 마인드셋,그랜트 카돈 저/최은아 역,부키,2023-08-30,9.79E+12,2,YES24,자기계발,성공/처세,2025-08-22
97,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,타국에서의 일 년,이창래 저/강동혁 역,알에이치코리아(RHK),2023-11-08,9.79E+12,2,YES24,소설,한국소설,2025-08-22
98,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,파도 : 을유세계문학전집 124,에두아르트 폰 카이절링 저/홍진호 역,을유문화사,2023-09-12,9.79E+12,1,YES24,소설,외국소설,2025-08-22
99,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,한석준의 말하기 수업 : 말하기에 자신이 생기면 인생이 바뀝니다,한석준 저,인플루엔셜,2023-08-28,9.79E+12,1,YES24,자기계발,화술/협상,2025-08-22
100,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,항상 옳을 순 없어도 항상 이길 수는 있습니다 : 쇼펜하우어 대화의 기술,아르투어 쇼펜하우어 저/권기대 역,베가북스,2024-01-08,9.79E+12,1,YES24,인문,서양철학,2025-08-22
101,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,흐르는 강물처럼,셸리 리드 저/김보람 역,다산책방,2024-01-12,9.79E+12,2,YES24,소설,외국소설,2025-08-22
102,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,"8초 인류 : 산만함의 시대, 우리의 뇌가 8초밖에 집중하지 못하는 이유",리사 이오띠 저/이소영 역,미래의창,2022-04-13,9.79E+12,1,YES24,과학/공학,교양과학,2025-08-22
103,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,90일 밤의 미술관 : 이탈리아 : 내 방에서 즐기는 이탈리아 미술 여행,"김덕선,김성희,유재선,이영은 공저",동양북스(동양books),2022-04-11,9.79E+12,1,YES24,예술/대중문화,미술,2025-08-22
104,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,거인의 노트,김익한 저,다산북스,2023-03-14,9.79E+12,2,YES24,자기계발,성공/처세,2025-08-22
105,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,걷기의 세계 : 뇌과학자가 전하는 가장 단순한 운동의 경이로움,셰인 오마라 저/구희성 역,미래의창주식회사,2022-06-03,9.79E+12,1,YES24,과학/공학,교양과학,2025-08-22
106,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,고양이와 수다,오영은 저,위즈덤하우스,2022-01-25,9.79E+12,2,YES24,시/에세이,에세이,2025-08-22
107,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,과학이 필요한 시간,궤도 저,동아시아,2022-10-24,9.79E+12,2,YES24,과학/공학,교양과학,2025-08-22
108,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,나는 도레미 : 고등어 태비 아기 고양이의 혼잣말,히라노 에리코 저/서하나 역,북노마드,2023-02-24,9.79E+12,1,YES24,시/에세이,에세이,2025-08-22
109,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,나는 왜 내 마음이 버거울까? : 정신과 의사 캘선생의 상담소,유영서 글그림,미래의창,2023-09-05,9.79E+12,1,YES24,인문,교양심리,2025-08-22
110,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,나에겐 상처받을 이유가 없다 : 자기밖에 모르는 사람들에게 휘둘리지 않고 나를 존중하는 삶의 시작,원은수 저,토네이도,2023-06-30,9.79E+12,1,YES24,인문,교양심리,2025-08-22
111,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,나의 누수 일지,김신회 저,여름사람,2023-08-14,9.79E+12,1,YES24,시/에세이,에세이,2025-08-22
112,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,너의 말이 좋아서 밑줄을 그었다,림태주 저,웅진지식하우스,2021-09-30,9.79E+12,2,YES24,시/에세이,에세이,2025-08-22
113,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,노화 공부,이덕철 저,위즈덤하우스,2023-09-13,9.79E+12,2,YES24,과학/공학,교양과학,2025-08-22
114,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,누구도 나를 파괴할 수 없다,데이비드 고긴스 저/이영래 역,웅진지식하우스,2023-06-26,9.79E+12,2,YES24,자기계발,성공/처세,2025-08-22
115,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,느끼고 아는 존재 : 인간의 마음은 어떻게 진화했을까,안토니오 다마지오 저/고현석 역/박문호 감수,흐름출판,2021-09-28,9.79E+12,2,YES24,과학/공학,교양과학,2025-08-22
116,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,달리기를 말할 때 내가 하고 싶은 이야기 : 무라카미 하루키의 문학과 인생의 회고록,무라카미 하루키 저/임홍빈 역,문학사상,2023-08-31,9.79E+12,1,YES24,시/에세이,에세이,2025-08-22
117,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,"돈을 찍어내는 제왕, 연준  : 미국 중앙은행은 어떻게 세계 경제를 망가뜨렸나",크리스토퍼 레너드 저/김승진 역,세종서적,2023-06-01,9.79E+12,1,YES24,경제/경영,경제일반,2025-08-22
118,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,뛰는 사람,베른트 하인리히 저/조은영 역,윌북,2022-07-27,9.79E+12,1,YES24,과학/공학,생물학,2025-08-22
119,여의샛강,www.ydplib.or.kr/yulib/index.do,전자책,마음이 아니라 뇌가 불안한 겁니다 : 최신 과학이 밝힌 뇌 유형별 회복 탄력의 비밀,다니엘 G. 에이멘 저/이은경 역,위즈덤하우스,2023-08-04,9.79E+12,2,YES24,인문,교양심리,2025-08-22
