번호,구분,상품번호,대분류,서명,저자,출판사,보유 권수,데이터기준일
9014,전자책,77724612,경제／경영,단번에 고객을 사로잡는 보험 실전 화법 (최신 개정판),김동범 저,중앙경제평론사,1,2025-07-01
9015,전자책,80909405,자기관리,단숨에 호감형 인간이 되는 매너의 기술,김모란 저,알에이치코리아(RHK),2,2025-07-01
9016,전자책,7866395,문학,단식술사 斷食術士,카프카 저/김혁규 역,세원문고,1,2025-07-01
9017,전자책,86541196,국어와외국어,단어의 마술사1,"V,H 그윈플랜 저",잭익스피어필름,1,2025-07-01
9018,전자책,89393771,국어와외국어,단어의 마술사10,"V,H 그윈플랜 저",잭익스피어필름,1,2025-07-01
9019,전자책,89431769,국어와외국어,단어의 마술사11,"V,H 그윈플랜 저",잭익스피어필름,1,2025-07-01
9020,전자책,89649657,국어와외국어,단어의 마술사12,"V,H 그윈플랜 저",잭익스피어필름,1,2025-07-01
9021,전자책,89649656,국어와외국어,단어의 마술사13,"V,H 그윈플랜 저",잭익스피어필름,1,2025-07-01
9022,전자책,89649655,국어와외국어,단어의 마술사14,"V,H 그윈플랜 저",잭익스피어필름,1,2025-07-01
9023,전자책,89649654,국어와외국어,단어의 마술사15,"V,H 그윈플랜 저",잭익스피어필름,1,2025-07-01
9024,전자책,89874034,국어와외국어,단어의 마술사16,"V,H 그윈플랜 저",잭익스피어필름,1,2025-07-01
9025,전자책,89874033,국어와외국어,단어의 마술사17,"V,H 그윈플랜 저",잭익스피어필름,1,2025-07-01
9026,전자책,89874032,국어와외국어,단어의 마술사18,"V,H 그윈플랜 저",잭익스피어필름,1,2025-07-01
9027,전자책,90073994,국어와외국어,단어의 마술사19,"V,H 그윈플랜 저",잭익스피어필름,1,2025-07-01
9028,전자책,87531551,국어와외국어,단어의 마술사2,"V,H 그윈플랜 저",잭익스피어필름,1,2025-07-01
9029,전자책,90073992,국어와외국어,단어의 마술사20,"V,H 그윈플랜 저",잭익스피어필름,1,2025-07-01
9030,전자책,90500205,국어와외국어,단어의 마술사22,"V,H 그윈플랜 저",잭익스피어필름,1,2025-07-01
9031,전자책,90953834,국어와외국어,단어의 마술사23,"V,H 그윈플랜 저",잭익스피어필름,1,2025-07-01
9032,전자책,90500204,국어와외국어,단어의 마술사24,"V,H 그윈플랜 저",잭익스피어필름,1,2025-07-01
9033,전자책,90500202,국어와외국어,단어의 마술사25,"V,H 그윈플랜 저",잭익스피어필름,1,2025-07-01
9034,전자책,90953833,국어와외국어,단어의 마술사26,"V,H 그윈플랜 저",잭익스피어필름,1,2025-07-01
9035,전자책,90953832,국어와외국어,단어의 마술사27,"V,H 그윈플랜 저",잭익스피어필름,1,2025-07-01
9036,전자책,90987087,국어와외국어,단어의 마술사28,"V,H 그윈플랜 저",잭익스피어필름,1,2025-07-01
9037,전자책,90987086,국어와외국어,단어의 마술사29,"V,H 그윈플랜 저",잭익스피어필름,1,2025-07-01
9038,전자책,88417671,국어와외국어,단어의 마술사3,"V,H 그윈플랜 저",잭익스피어필름,1,2025-07-01
9039,전자책,90987084,국어와외국어,단어의 마술사30,"V,H 그윈플랜 저",잭익스피어필름,1,2025-07-01
9040,전자책,88417670,국어와외국어,단어의 마술사4,"V,H 그윈플랜 저",잭익스피어필름,1,2025-07-01
9041,전자책,88417669,국어와외국어,단어의 마술사5,"V,H 그윈플랜 저",잭익스피어필름,1,2025-07-01
9042,전자책,89110519,국어와외국어,단어의 마술사6,"V,H 그윈플랜 저",잭익스피어필름,1,2025-07-01
9043,전자책,89228544,국어와외국어,단어의 마술사7,"V,H 그윈플랜 저",잭익스피어필름,1,2025-07-01
9044,전자책,89321765,국어와외국어,단어의 마술사8,"V,H 그윈플랜 저",잭익스피어필름,1,2025-07-01
9045,전자책,89377601,국어와외국어,단어의 마술사9,"V,H 그윈플랜 저",잭익스피어필름,1,2025-07-01
9046,전자책,44520728,예술／대중문화,단원풍속도첩 : 스마트한 미술관-마음에 불을 켜고 옛그림 속을 거닐다,김홍도 저,논리와상상,1,2025-07-01
9047,전자책,40928815,문학,단점 없애고 장점 살리기 : 스스로 모순 고치기,장창훈 저,미디어 북,1,2025-07-01
9048,전자책,57605558,국어와외국어,"단테 <신곡> '천국편' (Die G?ttliche Kom?die, Das Paradies) : 독일어+영어 원서 읽고/듣기!",단테(Dante) 저,컨트롤V,1,2025-07-01
9049,전자책,67091357,문학,"단테의 신곡, 천국 (Die G?ttliche Kom?die, Das Paradies) 고품격 독일어 번역판",단테 알리기에리 (Dante Alighieri) 저,유페이퍼,1,2025-07-01
9050,전자책,24038983,어린이/청소년,단편 창작동화 모음집,김상규 저,이페이지,1,2025-07-01
9051,전자책,19386900,문학,"단편 추리 은가면,방문객 (한글판)","휴 월폴,오스틴 프리먼 저",판도라,1,2025-07-01
9052,전자책,32527270,문학,단편소설과 길,박조셉 저,조셉출판사,1,2025-07-01
9053,전자책,34960179,문학,단편소설과 비,박조셉 저,조셉출판사,1,2025-07-01
9054,전자책,30232917,문학,단편소설과 집,박조셉 저,조셉출판사,1,2025-07-01
9055,전자책,8230209,문학,단풍나무이야기,최순연 저,유페이퍼(개인출판),1,2025-07-01
9056,전자책,90895278,문학,달 너머로 달리는 말,김훈 저,파람북,1,2025-07-01
9057,전자책,67363761,문학,달 속의 사나이 (Der Mann im Mond) - 고품격 시청각 독일어판,빌헬름 하우프 (Wilhelm Hauff) 저,유페이퍼,1,2025-07-01
9058,전자책,6457118,인문／사회,"달, 빛",최연후 저,유페이퍼(개인출판),1,2025-07-01
9059,전자책,32082120,국어와외국어,달과 6펜스 The Moon and Sixpence (영어 원서 읽기),W. Somerset Maugham (윌리엄 서머셋 몸) 저,u-paper(유페이퍼),1,2025-07-01
9060,전자책,90251208,어린이/청소년,달님이 따라와요,한연서 저,e퍼플,1,2025-07-01
9061,전자책,68713460,문학,달려라 메로스,다사이 오사무 저,세원문고,1,2025-07-01
9062,전자책,70919942,문학,달려라 메로스 - 일본 중단편 고전문학 042,다자이 오사무 저,현인,1,2025-07-01
9063,전자책,85462740,문학,"달려라, 생강빵!",B. McClintock 저,(도서출판)MKDAYS,1,2025-07-01
9064,전자책,78652486,인문／사회,달리기 몰입의 즐거움,"미하이 칙센트미하이,크리스틴 웨인코프 듀란소,필립 래터 공저/제효영 역",샘터,1,2025-07-01
9065,전자책,90500010,문학,달리기가 나에게 알려준 것들 : 길 위에서 발견한 가슴 뛰는 행복,오세진 저,프레너미,1,2025-07-01
9066,전자책,86018191,자기관리,달리기의 기쁨 : 영어 명언,루바토 편집부 저,루바토,1,2025-07-01
9067,전자책,11679306,문학,달밤,이태준 저,세원문고,1,2025-07-01
9068,전자책,30108227,문학,달밤 (한국문학전집 412),이태준 저,도디드,1,2025-07-01
9069,전자책,75223987,문학,달밤 - 이태준 한국문학선집,이태준 저,유페이퍼,1,2025-07-01
9070,전자책,76181995,문학,달밤 : 류츠신 SF 유니버스 짧은 소설 03,류츠신 저/ 김지은 역 저,에브리북,1,2025-07-01
9071,전자책,59385600,문학,달밤·돌다리 : 스마트한 문학관-한국 근대문학 베스트 66,이태준 저,논리와상상,1,2025-07-01
9072,전자책,36917005,문학,달밤과 안경 (한글 번역+일본 원문 문학 함께 읽기 : 오가와 미메이),오가와 미메이 (小川未明) 저/강철 역,BookMaker,1,2025-07-01
9073,전자책,32897634,어린이/청소년,달에 올라간 상아 - 중국 전래동화,"중국 전래동화/이미경,장춘화 역",큰나무공동체/오색종이작은도서관,1,2025-07-01
9074,전자책,67034547,문학,달의 조각 [겨울 한정 스페셜 에디션-미발표 원고 수록] : 불완전해서 소중한 것들을 위한 기록,하현 저,빌리버튼,1,2025-07-01
9075,전자책,66590295,가정과생활,달콤한 당뇨병 관리의 길잡이 : 운동학적 당뇨치료방법,의학나무 저,미디어 북,1,2025-07-01
9076,전자책,60208530,문학,달팽이를 키우는 맛 - 서울교육방송 칼럼 모음집,장창훈 저,미디어 북,1,2025-07-01
9077,전자책,59610557,문학,달팽이와 숨박꼭질 - 서울교육방송 칼럼 모음집,장창훈 저,미디어 북,1,2025-07-01
9078,전자책,79264314,문학,담배로 끝나버릴 뻔한 인생,범서 저,좋은땅,1,2025-07-01
9079,전자책,66636113,인문／사회,담배의 유래,차상찬 저,온이퍼브,1,2025-07-01
9080,전자책,89741072,문학,담천하(曇天下)의 시단(詩壇) 1년,임화 저,온이퍼브,1,2025-07-01
9081,전자책,80452968,국어와외국어,답변이 잘 나오는 OPIc 왕초보,김진 저,유페이퍼,1,2025-07-01
9082,전자책,74598158,문학,"답은 ‘나’였다 : 불안, 초조, 우울, 자존감 이 모든 문제의 답은 결국 내 안에 있다.",김성환 저,착한책방,1,2025-07-01
9083,전자책,67107680,가정과생활,당뇨리셋,조지 킹 저/성윤경 역,북아지트,1,2025-07-01
9084,전자책,33472208,가정과생활,"당뇨병, 샴푸vs탈모약",KBS2TV 비타민 제작 저,콘작,1,2025-07-01
9085,전자책,67743231,어린이/청소년,당당하게 실망시키기 : 터키 소녀의 진짜 진로탐험기 - 책콩 청소년 22,오즈게 사만즈 저/천미나 역,책과콩나무,1,2025-07-01
9086,전자책,90966400,가정과생활,"당신 아들, 문제없어요",이성종 저,가나출판사,1,2025-07-01
9087,전자책,5975608,문학,당신 옆을 스쳐간 그 소녀의 이름은,최진영 저,한겨레출판,2,2025-07-01
9088,전자책,90004302,문학,"당신, 잘 있나요",권지영 저,디지북스,1,2025-07-01
9089,전자책,58270341,인문／사회,당신과 나 사이 : 너무 멀어서 외롭지 않고 너무 가까워서 상처 입지 않는 거리를 찾는 법,김혜남 저,메이븐,1,2025-07-01
9090,전자책,73615539,문학,"당신에게 눈치를 선물하고 싶습니다 : 눈치 없고, 배려 없는, 무개념 발언 금지!",정소담 저,행성B,1,2025-07-01
9091,전자책,90233487,예술／대중문화,당신에게 베토벤을 선물합니다 : 재밌어서 밤새 읽는 베토벤 이야기,임현정 저,페이스메이커,1,2025-07-01
9092,전자책,74372275,가정과생활,"당신은 개를 키우면 안 된다 : 혼내지 않아도, 혼나지 않아도 되는 반려견 교육의 모든 것",강형욱 저,혜다,1,2025-07-01
